P_SyscoID	P_Sys_Opco	P_SyscoProdID0	P_SyscoProdID1	P_SyscoProdID2	P_SyscoProdID3	P_SyscoProdID4	P_SyscoProdID5	P_SyscoProdID6	P_SyscoProdID7	P_SyscoProdID8	P_SyscoProdID9	P_SyscoProdID10	P_SyscoProdID11	P_SyscoProdID12	P_SyscoProdID13	P_SyscoProdID14	P_SyscoProdID15	P_SyscoProdID16	P_SyscoProdID17	P_SyscoProdID18	P_SyscoProdID19	P_SyscoProdID20	P_SyscoProdID21	P_SyscoProdID22	P_SyscoProdID23	P_SyscoProdID24	P_SyscoProdID25	P_SyscoProdID26	P_SyscoProdID27	P_SyscoProdID28	P_SyscoProdID29
270256	067	6720726	6720742	6720833	6721294	6721609	6722888	6723803	6724231	6724249	6725980	6726228	6726772	6729420	6729693	6733075	6733950	6734495	6735104	6735245	6736151	6736391	6737035	6737191	6737209	6737803	6738173	6738256	6738397	6740237	6742183
270389	067	6742233	6743058	6743728	6746580	6747448	6747968	6748727	6748966	6749584	6751838	6753743	6754022	6754204	6755755	6755789	6755961	6756019	6756050	6756902	6757637	6758072	6758148	6758569	6759922	6759989	6760623	6761738	6763163	6763320	6763981
270421	067	6765416	6767586	6770051	6770440	6770804	6770887	6771000	6773287	6773311	6775555	6775589	6776942	6778013	6778724	6782577	6783047	6783674	6785885	6789838	6791990	6792071	6792154	6794507	6796379	6796395	6799134	6800312	6800361	6800494	6800635
270934	067	6800858	6800874	6800999	6803423	6803720	6804348	6811137	6814594	6815575	6817464	6817837	6818579	6819155	6819163	6820740	6821094	6822241	6822522	6825814	6826499	6827646	6828016	6828719	6829972	6830699	6832059	6832414	6832927	6833016	6833545
271288	067	6833966	6836571	6836605	6837082	6837124	6837280	6837579	6837728	6837777	6842959	6846828	6847016	6848303	6848626	6850788	6850796	6851075	6855787	6856546	6856926	6856983	6859599	6863633	6863708	6863765	6865133	6870513	6871081	6874614	6874960
271361	067	6876262	6876783	6876791	6877286	6878094	6878508	6879332	6879829	6880363	6880884	6882153	6882203	6882658	6884217	6884464	6884845	6887111	6889125	6891618	6892202	6892749	6893176	6893788	6894125	6894208	6894257	6895049	6895312	6895817	6895999
271627	067	6896120	6896765	6897979	6898910	6899660	6901581	6902266	6902357	6903918	6906622	6907018	6907992	6908024	6908156	6913172	6913438	6914352	6914451	6918858	6918866	6918882	6919708	6919955	6920219	6920326	6921712	6922611	6922801	6923874	6924690
272336	067	6924708	6924716	6925457	6926182	6929608	6931406	6931414	6931463	6931554	6931588	6932586	6932610	6934483	6934590	6934640	6935464	6935993	6936769	6936785	6937445	6939516	6939722	6940423	6941140	6942353	6944334	6944656	6944672	6944730	6944805
272559	067	6944847	6944904	6945018	6945505	6945521	6945612	6945646	6946255	6947543	6948426	6949036	6949051	6949473	6949747	6950281	6950299	6950323	6950364	6952436	6952741	6952808	6953392	6954218	6954499	6954945	6955488	6958250	6958458	6958946	6959373
273334	067	6959571	6959811	6960744	6960801	6961890	6963789	6964043	6964233	6964555	6965248	6965255	6965297	6965537	6965545	6965800	6965875	6965941	6966022	6966360	6967962	6968580	6969422	6969604	6970818	6970990	6971303	6971535	6974869	6976047	6977953
273722	067	6978738	6979744	6980403	6980577	6981278	6981336	6982037	6982094	6984124	6984330	6985642	6985683	6985865	6986178	6986210	6986590	6986616	6986764	6986848	6986939	6987747	6987796	6988083	6988158	6988166	6988315	6988588	6989305	6989347	6989388
273755	067	6989784	6989818	6989842	6989859	6989867	6989883	6993885	6994594	6995716	7005721	7006182	7006604	7011265	7011984	7012040	7012198	7012347	7013162	7013170	7014483	7014939	7015159	7016744	7016942	7017890	7017924	7018187	7018849	7019508	7019763
273797	067	7020134	7020266	7021678	7023997	7027204	7027840	7027881	7029580	7029762	7029796	7031107	7031271	7031354	7031651	7032964	7033517	7034119	7034325	7035983	7036197	7036437	7039001	7039100	7039365	7040934	7041908	7041916	7041957	7043730	7044621
273854	067	7044837	7049729	7050032	7050222	7050230	7050255	7050263	7051436	7051444	7051923	7051980	7052160	7052509	7052608	7052699	7052905	7053283	7053598	7053606	7053655	7054059	7054729	7054786	7055536	7056625	7056641	7056872	7057235	7059504	7061880
273912	067	7061898	7061955	7061989	7062615	7062771	7063456	7063860	7063951	7064132	7064207	7064587	7064728	7064736	7064777	7064801	7065584	7065675	7065758	7065766	7065857	7065915	7066004	7066038	7066236	7066327	7066350	7066384	7066467	7066921	7068034
274225	067	7068083	7068091	7068158	7068331	7070477	7070626	7071384	7074560	7075088	7075708	7075823	7078371	7078843	7079833	7081797	7082167	7082225	7082308	7082332	7082340	7082365	7082381	7082407	7082449	7083835	7083884	7084437	7084494	7084528	7084841
274670	067	7084916	7085228	7085236	7085558	7086689	7086747	7086770	7086861	7087901	7087919	7087935	7087943	7087950	7087976	7087992	7088008	7088040	7088230	7089212	7089667	7092125	7092281	7092711	7093404	7093495	7093644	7093701	7093776	7093818	7093826
275115	067	7093909	7093933	7096704	7096951	7097017	7097041	7097140	7097470	7097637	7097702	7098023	7098080	7098189	7098858	7099021	7099237	7100456	7100688	7103054	7104102	7107196	7107238	7107303	7107782	7108590	7109259	7109812	7110349	7110752	7110869
275156	067	7111248	7112527	7112964	7115207	7115280	7115660	7115678	7116270	7116718	7117096	7117179	7117591	7117807	7117872	7118003	7118235	7118250	7118748	7119399	7120777	7121403	7121585	7122229	7122435	7122526	7122625	7122658	7122740	7123037	7123045
275198	067	7123326	7124258	7124274	7126212	7126246	7126287	7126386	7126402	7127061	7127434	7127749	7128762	7130511	7131634	7131709	7131782	7133374	7133473	7133689	7134067	7134240	7134661	7135759	7136971	7137995	7138035	7138126	7138316	7138761	7140858
275362	067	7141617	7141898	7142102	7142284	7142334	7142474	7142482	7142557	7142607	7143381	7144397	7144470	7144561	7144645	7145089	7145337	7145394	7145493	7145832	7146210	7146319	7146657	7146723	7146962	7148877	7149065	7150907	7151186	7152184	7152564
275578	067	7153125	7154370	7154578	7154677	7154750	7155112	7155690	7155765	7157738	7158637	7158801	7158918	7158983	7159486	7160161	7162191	7162241	7162290	7162316	7162498	7162647	7163132	7163223	7163371	7163397	7163611	7163660	7163686	7163694	7163868
275610	067	7163926	7163942	7164171	7164189	7164528	7164577	7164627	7164692	7164700	7165590	7167448	7168537	7171978	7175003	7175706	7179591	7179690	7179740	7179989	7180102	7180144	7181175	7181217	7187537	7187578	7187818	7189681	7191349	7191364	7192628
275743	067	7194046	7196173	7196553	7198104	7198120	7198633	7199706	7203474	7204761	7207145	7210719	7211279	7213697	7215718	7216070	7216088	7216161	7218597	7219504	7219520	7219579	7222185	7223233	7223936	7225667	7226020	7226400	7227358	7227663	7227820
275792	067	7227846	7228141	7228190	7228331	7228349	7228356	7228364	7228406	7228539	7228752	7228943	7229164	7229636	7231236	7231731	7232101	7232812	7234099	7238637	7239130	7239296	7239585	7240062	7240138	7241524	7242308	7243652	7246333	7248545	7249261
275834	067	7249832	7249865	7250806	7251101	7251200	7251655	7251846	7252323	7252919	7253362	7254683	7255177	7255185	7256175	7256837	7256852	7257611	7257629	7258155	7259070	7259781	7260268	7262710	7265465	7266745	7268279	7269343	7269350	7269871	7270101
276329	067	7270242	7271083	7274277	7274459	7274509	7274533	7276983	7278401	7278468	7279342	7279383	7279391	7279409	7280043	7280969	7282742	7283617	7284292	7284664	7285067	7285109	7285257	7285265	7285570	7287758	7288087	7288483	7288632	7288640	7291404
276345	067	7294200	7294283	7294895	7295256	7295272	7295280	7295314	7295504	7295918	7297435	7298649	7300148	7301054	7301138	7302243	7302607	7304413	7305261	7305634	7309917	7310022	7310048	7311939	7314438	7314834	7314917	7315245	7315336	7315385	7315617
276642	067	7315625	7315666	7315674	7315823	7315906	7316227	7316359	7316367	7316409	7316656	7316953	7317779	7318207	7319213	7319262	7320203	7321524	7325467	7325574	7326598	7326937	7333495	7333503	7335136	7335987	7336555	7339567	7339666	7339914	7339930
277079	067	7344237	7347230	7347289	7347297	7347446	7347453	7347461	7348253	7348295	7350788	7352388	7354806	7356603	7359060	7360530	7360688	7360704	7363393	7364730	7365984	7366040	7366230	7366529	7366537	7366545	7366560	7366875	7367055	7367147	7370059
277152	067	7371172	7371883	7371933	7372204	7372915	7373186	7376049	7376288	7376296	7376304	7376320	7377930	7378763	7378854	7379126	7379407	7379472	7379548	7379555	7379597	7380207	7382856	7385420	7386543	7389141	7389406	7389604	7390362	7390396	7390412
